Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Nigeria,NGA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,51.157
North Macedonia,MKD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,58.208
Northern Mariana Islands,MNP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,91.708
Norway,NOR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,82.616
Oman,OMN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,85.443
Pakistan,PAK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,36.907
Palau,PLW,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.47
Panama,PAN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,68.059
Papua New Guinea,PNG,Urban population (% of total population),SP.URB.TOTL.IN.ZS,13.25
Paraguay,PRY,Urban population (% of total population),SP.URB.TOTL.IN.ZS,61.879
Peru,PER,Urban population (% of total population),SP.URB.TOTL.IN.ZS,78.099
Philippines,PHL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.149
Poland,POL,Urban population (% of total population),SP.URB.TOTL.IN.ZS,60.037
Portugal,PRT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,65.764
Puerto Rico,PRI,Urban population (% of total population),SP.URB.TOTL.IN.ZS,93.576
Qatar,QAT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,99.188
Romania,ROU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.084
Russian Federation,RUS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,74.587
Rwanda,RWA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,17.313
Samoa,WSM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.056
San Marino,SMR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,97.368
Sao Tome and Principe,STP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.598
Saudi Arabia,SAU,Urban population (% of total population),SP.URB.TOTL.IN.ZS,84.065
Senegal,SEN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,47.653
Serbia,SRB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,56.26
Seychelles,SYC,Urban population (% of total population),SP.URB.TOTL.IN.ZS,57.119
Sierra Leone,SLE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.484
Singapore,SGP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Sint Maarten (Dutch part),SXM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,100
Slovak Republic,SVK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.729
Slovenia,SVN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.822
Solomon Islands,SLB,Urban population (% of total population),SP.URB.TOTL.IN.ZS,24.21
Somalia,SOM,Urban population (% of total population),SP.URB.TOTL.IN.ZS,45.554
South Africa,ZAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.856
South Sudan,SSD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.899
Spain,ESP,Urban population (% of total population),SP.URB.TOTL.IN.ZS,80.565
Sri Lanka,LKA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.585
St. Kitts and Nevis,KNA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.799
St. Lucia,LCA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,18.754
St. Martin (French part),MAF,Urban population (% of total population),SP.URB.TOTL.IN.ZS,..
St. Vincent and the Grenadines,VCT,Urban population (% of total population),SP.URB.TOTL.IN.ZS,52.614
Sudan,SDN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.936
Suriname,SUR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,66.095
Sweden,SWE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,87.708
Switzerland,CHE,Urban population (% of total population),SP.URB.TOTL.IN.ZS,73.849
Syrian Arab Republic,SYR,Urban population (% of total population),SP.URB.TOTL.IN.ZS,54.821
Tajikistan,TJK,Urban population (% of total population),SP.URB.TOTL.IN.ZS,27.309
Tanzania,TZA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,34.5
Thailand,THA,Urban population (% of total population),SP.URB.TOTL.IN.ZS,50.692
Timor-Leste,TLS,Urban population (% of total population),SP.URB.TOTL.IN.ZS,30.947
Togo,TGO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,42.248
Tonga,TON,Urban population (% of total population),SP.URB.TOTL.IN.ZS,23.107
Trinidad and Tobago,TTO,Urban population (% of total population),SP.URB.TOTL.IN.ZS,53.187
Tunisia,TUN,Urban population (% of total population),SP.URB.TOTL.IN.ZS,69.254
