Country Name,Country Code,Series Name,Series Code,2019 [YR2019]
Not classified,INX,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
OECD members,OED,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,105.627689167313
Other small states,OSS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Pacific island small states,PSS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Post-demographic dividend,PST,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,109.90124100809
Pre-demographic dividend,PRE,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Small states,SST,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
South Asia,SAS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
South Asia (IDA & IBRD),TSA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Sub-Saharan Africa,SSF,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Sub-Saharan Africa (excluding high income),SSA,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
Upper middle income,UMC,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
World,WLD,"Central government debt, total (% of GDP)",GC.DOD.TOTL.GD.ZS,..
,,,,
,,,,
,,,,
Data from database: World Development Indicators,,,,
Last Updated: 12/19/2023,,,,
