OECD members,OED,"Central government debt, total (% of GDP)",105.627689167313
Other small states,OSS,"Central government debt, total (% of GDP)",..
Pacific island small states,PSS,"Central government debt, total (% of GDP)",..
Post-demographic dividend,PST,"Central government debt, total (% of GDP)",109.90124100809
Pre-demographic dividend,PRE,"Central government debt, total (% of GDP)",..
Small states,SST,"Central government debt, total (% of GDP)",..
South Asia,SAS,"Central government debt, total (% of GDP)",..
South Asia (IDA & IBRD),TSA,"Central government debt, total (% of GDP)",..
Sub-Saharan Africa,SSF,"Central government debt, total (% of GDP)",..
Sub-Saharan Africa (excluding high income),SSA,"Central government debt, total (% of GDP)",..
Sub-Saharan Africa (IDA & IBRD countries),TSS,"Central government debt, total (% of GDP)",..
Upper middle income,UMC,"Central government debt, total (% of GDP)",..
World,WLD,"Central government debt, total (% of GDP)",..
